,500,,,1000,,
e=N,,,,,,
g,alpha2,gamma1,gamma2,alpha2,gamma1,gamma2
"[0.5, 0.0]",-2.0119(0.0212),0.5514(0.0644),-0.0014(0.0212),-2.0081(0.0084),0.5022(0.0272),0.0026(0.0084)
"[0.5, 1.0]",-1.9842(0.0244),0.5452(0.0572),1.0864(0.0244),-2.0013(0.0116),0.5266(0.0216),1.0528(0.0116)
"[0.0, 0.5]",-2.0092(0.0192),-0.0062(0.0412),0.5690(0.0192),-2.0002(0.0084),-0.0084(0.0188),0.5300(0.0084)
"[1.0, 0.5]",-2.0031(0.0268),1.0978(0.0468),0.5378(0.0268),-2.0019(0.0092),1.0620(0.0220),0.5458(0.0092)
"[0.5, 0.5]",-2.0092(0.0272),0.5562(0.0628),0.5406(0.0272),-1.9913(0.0096),0.5216(0.0240),0.5380(0.0096)
e=st,,,,,,
"[0.5, 0.0]",-2.0212(0.0516),0.4888(0.1084),0.0162(0.0516),-2.0094(0.0112),0.5116(0.0376),0.0144(0.0112)
"[0.5, 1.0]",-1.9807(0.0484),0.5314(0.0952),1.0830(0.0484),-1.9875(0.0216),0.4926(0.0272),1.0596(0.0216)
"[0.0, 0.5]",-1.9353(0.0556),0.0780(0.1520),0.5318(0.0556),-2.0126(0.0176),0.0008(0.0412),0.5032(0.0176)
"[1.0, 0.5]",-2.0029(0.0368),1.0806(0.0760),0.5706(0.0368),-1.9891(0.0348),1.0146(0.0408),0.5142(0.0348)
"[0.5, 0.5]",-2.0401(0.0636),0.5104(0.0980),0.5178(0.0636),-2.0253(0.0164),0.5386(0.0316),0.5430(0.0164)
