,500,,,,1000,,
g,alpha2,gamma1,gamma2,,alpha2,gamma1,gamma2
"[0.5, 0.0]",-1.9991(0.0072),0.5434(0.0132),-0.006(0.0072),,-2.0061(0.0020),0.5344(0.0036),0.0104(0.0020)
"[0.5, 1.0]",-1.9942(0.0060),0.5328(0.0132),1.1132(0.0060),,-2.0027(0.0024),0.5334(0.0048),1.0544(0.0024)
"[0.0, 0.5]",-2.0239(0.0068),0.0224(0.0172),0.5306(0.0068),,-1.9978(0.0020),-0.003(0.0032),0.5300(0.0020)
"[1.0, 0.5]",-2.002(0.0072),1.0680(0.0148),0.5322(0.0072),,-1.9882(0.0016),1.0376(0.0044),0.5264(0.0016)
"[0.5, 0.5]",-2.0167(0.0084),0.5140(0.0140),0.5442(0.0084),,-2.0079(0.0020),0.5224(0.0048),0.5274(0.0020)
,,,,,,,
"[0.5, 0.0]",-1.9996(0.0064),0.5402(0.0132),-0.0066(0.0064),,-1.9926(0.0024),0.5178(0.0036),-0.0038(0.0024)
"[0.5, 1.0]",-2.0007(0.0116),0.5326(0.0120),1.0828(0.0116),,-2.0027(0.0020),0.5240(0.0052),1.0478(0.0020)
"[0.0, 0.5]",-1.9869(0.0072),0.0070(0.0128),0.5418(0.0072),,-2.000(0.0024),-0.0002(0.0036),0.5290(0.0024)
"[1.0, 0.5]",-1.9911(0.0080),1.0616(0.0180),0.5464(0.0080),,-2.000(0.0020),1.0378(0.0032),0.5228(0.0020)
"[0.5, 0.5]",-1.988(0.0080),0.5290(0.0152),0.5374(0.0080),,-2.0027(0.0020),0.5220(0.0048),0.5184(0.0020)
